Iteration;Long01;Long012;Long02;Long0105
1056;;;;805
1057;;;;804
1058;;;;806
1059;;;;806
1060;;;;810
1061;;;;811
1062;;;;811
1063;;;;811
1064;;;;809
1065;;;;809
1066;;;;809
1067;;;;809
1068;;;;809
1069;;;;809
1070;;;;811
1071;;;;813
1072;;;;813
1073;;;;813
1074;;;;813
1075;;;;813
1076;;;;812
1077;;;;812
1078;;;;813
1079;;;;813
1080;;;;813
1081;;;;814
1082;;;;812
1083;;;;812
1084;;;;814
1085;;;;814
1086;;;;814
1087;;;;814
1088;;;;813
1089;;;;813
1090;;;;809
1091;;;;809
1092;;;;809
1093;;;;809
1094;;;;807
1095;;;;807
1096;;;;808
1097;;;;803
1098;;;;803
1099;;;;803
1100;;;;803
1101;;;;803
1102;;;;803
1103;;;;805
1104;;;;805
1105;;;;804
1106;;;;804
1107;;;;808
1108;;;;809
1109;;;;809
1110;;;;809
1111;;;;809
1112;;;;809
1113;;;;808
1114;;;;811
1115;;;;811
1116;;;;811
1117;;;;811
1118;;;;813
1119;;;;813
1120;;;;812
1121;;;;810
1122;;;;810
1123;;;;810
1124;;;;809
1125;;;;807
1126;;;;811
1127;;;;810
1128;;;;806
1129;;;;806
1130;;;;806
1131;;;;801
1132;;;;802
1133;;;;802
1134;;;;802
1135;;;;801
1136;;;;800
1137;;;;800
1138;;;;799
1139;;;;799
1140;;;;799
1141;;;;797
1142;;;;797
1143;;;;794
1144;;;;794
1145;;;;794
1146;;;;795
1147;;;;793
1148;;;;793
1149;;;;793
1150;;;;793
1151;;;;794
1152;;;;794
1153;;;;794
1154;;;;797
1155;;;;797
1156;;;;797
1157;;;;797
1158;;;;798
1159;;;;797
1160;;;;797
1161;;;;798
1162;;;;798
1163;;;;803
1164;;;;805
1165;;;;805
1166;;;;805
1167;;;;806
1168;;;;806
1169;;;;807
1170;;;;807
1171;;;;804
1172;;;;804
1173;;;;804
1174;;;;804
1175;;;;808
1176;;;;808
1177;;;;804
1178;;;;804
1179;;;;804
1180;;;;805
1181;;;;804
1182;;;;802
1183;;;;800
1184;;;;800
1185;;;;801
1186;;;;801
1187;;;;801
1188;;;;803
1189;;;;804
1190;;;;804
1191;;;;807
1192;;;;807
1193;;;;805
1194;;;;805
1195;;;;805
1196;;;;804
1197;;;;804
1198;;;;804
1199;;;;801
1200;;;;804
1201;;;;804
1202;;;;806
1203;;;;806
1204;;;;807
1205;;;;806
1206;;;;806
1207;;;;806
1208;;;;806
1209;;;;803
1210;;;;801
1211;;;;800
1212;;;;799
1213;;;;799
1214;;;;797
1215;;;;796
1216;;;;796
1217;;;;798
1218;;;;798
1219;;;;798
1220;;;;798
1221;;;;797
1222;;;;798
1223;;;;799
1224;;;;800
1225;;;;800
1226;;;;802
1227;;;;807
1228;;;;807
1229;;;;807
1230;;;;809
1231;;;;810
1232;;;;808
1233;;;;808
1234;;;;812
1235;;;;811
1236;;;;810
1237;;;;811
1238;;;;810
1239;;;;810
1240;;;;810
1241;;;;804
1242;;;;804
1243;;;;806
1244;;;;806
1245;;;;806
1246;;;;807
1247;;;;807
1248;;;;807
1249;;;;808
1250;;;;808
1251;;;;807
1252;;;;807
1253;;;;806
1254;;;;806
1255;;;;809
1256;;;;812
1257;;;;811
1258;;;;814
1259;;;;809
1260;;;;809
1261;;;;812
1262;;;;812
1263;;;;812
1264;;;;812
1265;;;;812
1266;;;;814
1267;;;;813
1268;;;;813
1269;;;;813
1270;;;;813
1271;;;;813
1272;;;;813
1273;;;;813
1274;;;;811
1275;;;;811
1276;;;;814
1277;;;;814
1278;;;;814
1279;;;;815
1280;;;;818
1281;;;;818
1282;;;;820
1283;;;;821
1284;;;;821
1285;;;;823
1286;;;;821
1287;;;;821
1288;;;;821
1289;;;;817
1290;;;;818
1291;;;;819
1292;;;;819
1293;;;;819
1294;;;;816
1295;;;;815
1296;;;;816
1297;;;;816
1298;;;;816
1299;;;;816
1300;;;;817
1301;;;;816
1302;;;;818
1303;;;;818
1304;;;;817
1305;;;;820
1306;;;;820
1307;;;;822
1308;;;;822
1309;;;;823
1310;;;;823
1311;;;;823
1312;;;;823
1313;;;;823
1314;;;;823
1315;;;;822
1316;;;;822
1317;;;;820
1318;;;;820
1319;;;;820
1320;;;;819
1321;;;;819
1322;;;;818
1323;;;;819
1324;;;;821
1325;;;;821
1326;;;;817
1327;;;;817
1328;;;;817
1329;;;;817
1330;;;;822
1331;;;;822
1332;;;;823
1333;;;;823
1334;;;;823
1335;;;;822
1336;;;;825
1337;;;;825
1338;;;;825
1339;;;;825
1340;;;;827
1341;;;;827
1342;;;;827
1343;;;;827
1344;;;;829
1345;;;;829
1346;;;;828
1347;;;;828
1348;;;;828
1349;;;;827
1350;;;;827
1351;;;;828
1352;;;;826
1353;;;;826
1354;;;;826
1355;;;;827
1356;;;;827
1357;;;;827
1358;;;;828
1359;;;;828
1360;;;;828
1361;;;;828
1362;;;;828
1363;;;;828
1364;;;;828
1365;;;;828
1366;;;;828
1367;;;;828
1368;;;;828
1369;;;;826
1370;;;;826
1371;;;;825
1372;;;;826
1373;;;;825
1374;;;;825
1375;;;;826
1376;;;;827
1377;;;;827
1378;;;;830
1379;;;;830
1380;;;;830
1381;;;;829
1382;;;;829
1383;;;;828
1384;;;;827
1385;;;;827
1386;;;;827
1387;;;;827
1388;;;;825
1389;;;;825
1390;;;;826
1391;;;;826
1392;;;;824
1393;;;;824
1394;;;;822
1395;;;;821
1396;;;;821
1397;;;;819
1398;;;;819
1399;;;;820
1400;;;;820
1401;;;;819
1402;;;;818
1403;;;;817
1404;;;;817
1405;;;;818
1406;;;;817
1407;;;;815
1408;;;;815
1409;;;;815
1410;;;;815
1411;;;;814
1412;;;;813
1413;;;;813
1414;;;;813
1415;;;;813
1416;;;;815
1417;;;;817
1418;;;;817
1419;;;;817
1420;;;;815
1421;;;;814
1422;;;;815
1423;;;;815
1424;;;;814
1425;;;;814
1426;;;;814
1427;;;;810
1428;;;;810
1429;;;;809
1430;;;;809
1431;;;;808
1432;;;;808
1433;;;;808
1434;;;;808
1435;;;;811
1436;;;;810
1437;;;;810
1438;;;;810
1439;;;;810
1440;;;;809
1441;;;;808
1442;;;;808
1443;;;;808
1444;;;;808
1445;;;;807
1446;;;;807
1447;;;;805
1448;;;;805
1449;;;;805
1450;;;;805
1451;;;;805
1452;;;;807
1453;;;;809
1454;;;;809
1455;;;;809
1456;;;;809
1457;;;;809
1458;;;;809
1459;;;;810
1460;;;;810
1461;;;;810
1462;;;;810
1463;;;;807
1464;;;;808
1465;;;;807
1466;;;;808
1467;;;;805
1468;;;;805
1469;;;;805
1470;;;;805
1471;;;;805
1472;;;;804
1473;;;;805
1474;;;;805
1475;;;;805
1476;;;;805
1477;;;;806
1478;;;;807
1479;;;;807
1480;;;;808
1481;;;;808
1482;;;;809
1483;;;;809
1484;;;;809
1485;;;;809
1486;;;;810
1487;;;;806
1488;;;;806
1489;;;;805
1490;;;;805
1491;;;;807
1492;;;;807
1493;;;;807
1494;;;;807
1495;;;;808
1496;;;;807
1497;;;;805
1498;;;;807
1499;;;;808
1500;;;;808
1501;;;;809
1502;;;;806
1503;;;;805
1504;;;;802
1505;;;;802
1506;;;;805
1507;;;;810
1508;;;;810
1509;;;;806
1510;;;;805
1511;;;;803
1512;;;;802
1513;;;;802
1514;;;;805
1515;;;;806
1516;;;;805
1517;;;;805
1518;;;;805
1519;;;;805
1520;;;;805
1521;;;;805
1522;;;;804
1523;;;;804
1524;;;;804
1525;;;;800
1526;;;;800
1527;;;;801
1528;;;;801
1529;;;;801
1530;;;;801
1531;;;;801
1532;;;;801
1533;;;;800
1534;;;;800
1535;;;;800
1536;;;;803
1537;;;;803
1538;;;;802
1539;;;;802
1540;;;;802
1541;;;;802
1542;;;;804
1543;;;;804
1544;;;;805
1545;;;;805
1546;;;;806
1547;;;;805
1548;;;;805
1549;;;;805
1550;;;;805
1551;;;;801
1552;;;;800
1553;;;;801
1554;;;;802
1555;;;;802
1556;;;;802
1557;;;;802
1558;;;;802
1559;;;;801
1560;;;;801
1561;;;;803
1562;;;;803
1563;;;;803
1564;;;;803
1565;;;;805
1566;;;;804
1567;;;;805
1568;;;;803
1569;;;;803
1570;;;;803
1571;;;;803
1572;;;;800
1573;;;;800
1574;;;;801
1575;;;;801
1576;;;;801
1577;;;;800
1578;;;;800
1579;;;;800
1580;;;;800
1581;;;;800
1582;;;;801
1583;;;;802
1584;;;;803
1585;;;;804
1586;;;;804
1587;;;;804
1588;;;;805
1589;;;;805
1590;;;;805
1591;;;;805
1592;;;;805
1593;;;;805
1594;;;;807
1595;;;;803
1596;;;;803
1597;;;;803
1598;;;;803
1599;;;;800
1600;;;;800
1601;;;;800
1602;;;;800
1603;;;;802
1604;;;;802
1605;;;;802
1606;;;;802
1607;;;;802
1608;;;;805
1609;;;;803
1610;;;;804
1611;;;;805
1612;;;;805
1613;;;;802
1614;;;;802
1615;;;;801
1616;;;;801
1617;;;;801
